observation_date,CPIUKA
1498-01-01,0.14
1499-01-01,0.15
1500-01-01,0.14
1501-01-01,0.16
1502-01-01,0.17
1503-01-01,0.16
1504-01-01,0.16
1505-01-01,0.15
1506-01-01,0.14
1507-01-01,0.15
1508-01-01,0.15
1509-01-01,0.12
1510-01-01,0.13
1511-01-01,0.13
1512-01-01,0.15
1513-01-01,0.18
1514-01-01,0.15
1515-01-01,0.16
1516-01-01,0.17
1517-01-01,0.15
1518-01-01,0.16
1519-01-01,0.16
1520-01-01,0.18
1521-01-01,0.20
1522-01-01,0.18
1523-01-01,0.18
1524-01-01,0.17
1525-01-01,0.15
1526-01-01,0.15
1527-01-01,0.17
1528-01-01,0.24
1529-01-01,0.19
1530-01-01,0.19
1531-01-01,0.20
1532-01-01,0.20
1533-01-01,0.20
1534-01-01,0.17
1535-01-01,0.20
1536-01-01,0.20
1537-01-01,0.21
1538-01-01,0.18
1539-01-01,0.17
1540-01-01,0.18
1541-01-01,0.20
1542-01-01,0.19
1543-01-01,0.21
1544-01-01,0.22
1545-01-01,0.25
1546-01-01,0.27
1547-01-01,0.20
1548-01-01,0.20
1549-01-01,0.25
1550-01-01,0.31
1551-01-01,0.35
1552-01-01,0.31
1553-01-01,0.28
1554-01-01,0.27
1555-01-01,0.33
1556-01-01,0.40
1557-01-01,0.43
1558-01-01,0.29
1559-01-01,0.31
1560-01-01,0.33
1561-01-01,0.36
1562-01-01,0.36
1563-01-01,0.37
1564-01-01,0.39
1565-01-01,0.33
1566-01-01,0.34
1567-01-01,0.32
1568-01-01,0.32
1569-01-01,0.35
1570-01-01,0.34
1571-01-01,0.33
1572-01-01,0.36
1573-01-01,0.38
1574-01-01,0.44
1575-01-01,0.38
1576-01-01,0.39
1577-01-01,0.42
1578-01-01,0.39
1579-01-01,0.39
1580-01-01,0.37
1581-01-01,0.42
1582-01-01,0.42
1583-01-01,0.40
1584-01-01,0.40
1585-01-01,0.42
1586-01-01,0.50
1587-01-01,0.50
1588-01-01,0.42
1589-01-01,0.44
1590-01-01,0.49
1591-01-01,0.49
1592-01-01,0.44
1593-01-01,0.46
1594-01-01,0.53
1595-01-01,0.59
1596-01-01,0.63
1597-01-01,0.72
1598-01-01,0.65
1599-01-01,0.53
1600-01-01,0.55
1601-01-01,0.55
1602-01-01,0.54
1603-01-01,0.51
1604-01-01,0.52
1605-01-01,0.55
1606-01-01,0.56
1607-01-01,0.57
1608-01-01,0.66
1609-01-01,0.67
1610-01-01,0.59
1611-01-01,0.61
1612-01-01,0.64
1613-01-01,0.68
1614-01-01,0.67
1615-01-01,0.65
1616-01-01,0.66
1617-01-01,0.67
1618-01-01,0.67
1619-01-01,0.62
1620-01-01,0.58
1621-01-01,0.62
1622-01-01,0.70
1623-01-01,0.68
1624-01-01,0.66
1625-01-01,0.68
1626-01-01,0.68
1627-01-01,0.63
1628-01-01,0.62
1629-01-01,0.65
1630-01-01,0.76
1631-01-01,0.82
1632-01-01,0.75
1633-01-01,0.74
1634-01-01,0.75
1635-01-01,0.75
1636-01-01,0.77
1637-01-01,0.78
1638-01-01,0.81
1639-01-01,0.73
1640-01-01,0.69
1641-01-01,0.75
1642-01-01,0.71
1643-01-01,0.73
1644-01-01,0.71
1645-01-01,0.72
1646-01-01,0.76
1647-01-01,0.89
1648-01-01,0.98
1649-01-01,0.96
1650-01-01,0.92
1651-01-01,0.89
1652-01-01,0.80
1653-01-01,0.74
1654-01-01,0.65
1655-01-01,0.62
1656-01-01,0.72
1657-01-01,0.76
1658-01-01,0.83
1659-01-01,0.89
1660-01-01,0.83
1661-01-01,0.90
1662-01-01,0.93
1663-01-01,0.91
1664-01-01,0.86
1665-01-01,0.86
1666-01-01,0.83
1667-01-01,0.79
1668-01-01,0.79
1669-01-01,0.76
1670-01-01,0.76
1671-01-01,0.76
1672-01-01,0.73
1673-01-01,0.72
1674-01-01,0.77
1675-01-01,0.83
1676-01-01,0.79
1677-01-01,0.73
1678-01-01,0.74
1679-01-01,0.78
1680-01-01,0.76
1681-01-01,0.74
1682-01-01,0.74
1683-01-01,0.72
1684-01-01,0.73
1685-01-01,0.75
1686-01-01,0.76
1687-01-01,0.67
1688-01-01,0.67
1689-01-01,0.66
1690-01-01,0.67
1691-01-01,0.68
1692-01-01,0.67
1693-01-01,0.71
1694-01-01,0.78
1695-01-01,0.78
1696-01-01,0.82
1697-01-01,0.82
1698-01-01,0.86
1699-01-01,0.89
1700-01-01,0.77
1701-01-01,0.67
1702-01-01,0.67
1703-01-01,0.63
1704-01-01,0.66
1705-01-01,0.60
1706-01-01,0.68
1707-01-01,0.59
1708-01-01,0.62
1709-01-01,0.72
1710-01-01,0.82
1711-01-01,0.91
1712-01-01,0.68
1713-01-01,0.65
1714-01-01,0.69
1715-01-01,0.70
1716-01-01,0.67
1717-01-01,0.64
1718-01-01,0.63
1719-01-01,0.65
1720-01-01,0.69
1721-01-01,0.67
1722-01-01,0.62
1723-01-01,0.60
1724-01-01,0.63
1725-01-01,0.65
1726-01-01,0.69
1727-01-01,0.65
1728-01-01,0.67
1729-01-01,0.70
1730-01-01,0.64
1731-01-01,0.59
1732-01-01,0.60
1733-01-01,0.57
1734-01-01,0.59
1735-01-01,0.60
1736-01-01,0.59
1737-01-01,0.63
1738-01-01,0.61
1739-01-01,0.60
1740-01-01,0.67
1741-01-01,0.73
1742-01-01,0.67
1743-01-01,0.63
1744-01-01,0.57
1745-01-01,0.57
1746-01-01,0.63
1747-01-01,0.61
1748-01-01,0.63
1749-01-01,0.65
1750-01-01,0.64
1751-01-01,0.66
1752-01-01,0.70
1753-01-01,0.69
1754-01-01,0.68
1755-01-01,0.65
1756-01-01,0.70
1757-01-01,0.89
1758-01-01,0.84
1759-01-01,0.73
1760-01-01,0.67
1761-01-01,0.67
1762-01-01,0.69
1763-01-01,0.71
1764-01-01,0.77
1765-01-01,0.82
1766-01-01,0.82
1767-01-01,0.94
1768-01-01,0.92
1769-01-01,0.79
1770-01-01,0.83
1771-01-01,0.87
1772-01-01,0.92
1773-01-01,0.92
1774-01-01,0.91
1775-01-01,0.90
1776-01-01,0.84
1777-01-01,0.88
1778-01-01,0.89
1779-01-01,0.85
1780-01-01,0.85
1781-01-01,0.94
1782-01-01,0.95
1783-01-01,0.95
1784-01-01,0.90
1785-01-01,0.86
1786-01-01,0.86
1787-01-01,0.87
1788-01-01,0.88
1789-01-01,0.88
1790-01-01,0.94
1791-01-01,0.93
1792-01-01,0.91
1793-01-01,0.96
1794-01-01,0.99
